x_cm,y_cm,z_cm,kineticEnergy_GeV
-15.8431,-1.6500,349.9000,4.2236
-14.0789,1.9381,349.9000,4.2238
-13.4812,0.5959,349.9000,4.2267
-15.9317,-1.4961,349.9000,4.2228
-14.5634,0.3271,349.9000,4.2243
-14.2618,1.0429,349.9000,4.2247
-14.9074,-0.0753,349.9000,4.2231
-14.9642,0.7602,349.9000,4.2186
-18.7142,4.1121,349.9000,4.2249
-14.7861,-0.7186,349.9000,4.2182
-14.8307,-0.0079,349.9000,4.2226
-14.5267,-0.7058,349.9000,4.2236
-13.5100,1.5213,349.9000,4.2244
-13.7190,-0.8441,349.9000,4.2249
-13.3490,0.8549,349.9000,4.2251
-14.7356,-1.3616,349.9000,4.2246
-15.9722,1.8793,349.9000,4.2213
-13.3154,1.0534,349.9000,4.2243
-14.7433,0.4399,349.9000,4.2164
-15.9905,-0.8290,349.9000,4.2249
-14.0492,0.5303,349.9000,4.2144
-15.4116,-0.6850,349.9000,4.2231
-14.9383,-0.1780,349.9000,4.2260
-15.2203,0.7361,349.9000,4.2223
-14.6635,0.4871,349.9000,4.2244
-15.2505,0.7576,349.9000,4.2201
-14.2784,0.5520,349.9000,4.2252
-13.6474,-0.3300,349.9000,4.2231
-14.7803,0.4985,349.9000,4.2016
-14.5794,0.6076,349.9000,4.2115
-13.7190,1.7362,349.9000,4.2256
-14.1719,-0.4983,349.9000,4.2181
-16.8903,-0.2753,349.9000,4.2245
-14.9845,-0.8602,349.9000,4.2210
-13.9203,0.7306,349.9000,4.2248
-15.2360,0.4654,349.9000,4.2236
-14.2014,2.1210,349.9000,4.2205
-15.7051,0.7402,349.9000,4.2224
-14.8313,1.5405,349.9000,4.2245
-14.6270,1.4716,349.9000,4.2242
-14.3404,-1.4645,349.9000,4.2253
-14.9240,0.3297,349.9000,4.2087
-14.9557,0.8616,349.9000,4.2231
-14.2623,0.5551,349.9000,4.2241
-14.1346,-0.2080,349.9000,4.2114
-14.4759,0.2211,349.9000,4.2231
-16.2615,-0.0309,349.9000,4.2152
-14.0704,-0.0580,349.9000,4.2238
-13.0045,-0.8485,349.9000,4.2230
-14.0551,-1.1206,349.9000,4.2237
-15.2221,0.8965,349.9000,4.2250
-16.5669,-0.6280,349.9000,4.2246
-14.2801,-1.4748,349.9000,4.2213
-15.3118,1.0015,349.9000,4.2252
-13.8557,1.6252,349.9000,4.2249
-13.5761,-0.5207,349.9000,4.2215
-15.6169,1.0166,349.9000,4.2263
-14.5964,-0.3610,349.9000,4.2228
-13.2634,-0.6104,349.9000,4.2249
-15.5063,0.2827,349.9000,4.2205
-12.4795,-1.1538,349.9000,4.2243
-14.2980,-0.0749,349.9000,4.2211
-14.2933,0.1301,349.9000,4.2215
-16.1667,0.4152,349.9000,4.2251
-14.3507,0.4009,349.9000,4.2250
-15.3309,-0.2808,349.9000,4.2222
-15.5906,0.3104,349.9000,4.2248
-14.6386,0.8354,349.9000,4.2195
-15.8409,-0.3820,349.9000,4.2099
-13.9835,-2.6442,349.9000,4.2229
-15.6452,0.0862,349.9000,4.2244
-14.7068,2.7534,349.9000,4.2240
-14.2705,-1.6608,349.9000,4.2202
-15.0029,-0.4704,349.9000,4.2245
-15.8560,0.6295,349.9000,4.2216
-15.3020,0.2377,349.9000,4.2235
-13.8460,0.1744,349.9000,4.2236
-14.9851,0.3096,349.9000,4.2240
-13.1028,-0.7621,349.9000,4.2246
-14.1863,1.6182,349.9000,4.2242
-17.2891,0.4897,349.9000,4.2084
-14.6628,-0.6212,349.9000,4.2241
-16.1705,1.6210,349.9000,4.2246
-14.9917,0.4011,349.9000,4.2235
-15.7668,1.1475,349.9000,4.2246
-8.7367,-2.9489,349.9000,4.2231
-15.1580,-0.7395,349.9000,4.2251
-13.0214,0.5120,349.9000,4.2247
-15.0236,0.2321,349.9000,4.2186
-14.0647,-0.4494,349.9000,4.2161
-15.2531,-0.6067,349.9000,4.2229
-14.3707,1.2299,349.9000,4.2266
-16.5155,-0.2825,349.9000,4.2257
-13.3870,1.6079,349.9000,4.2237
-14.6202,-0.0502,349.9000,4.2252
-14.5060,-0.0027,349.9000,4.2252
-15.9265,-0.0488,349.9000,4.2255
-15.5848,0.3734,349.9000,4.2259
-15.2394,-0.5757,349.9000,4.2243
-16.4089,2.0210,349.9000,4.2254
-14.8070,-1.6098,349.9000,4.2246
