x_cm,y_cm,z_cm,kineticEnergy_GeV
-14.1584,0.6443,349.9000,4.2033
-13.9660,2.1665,349.9000,4.2002
-12.9563,-0.0866,349.9000,4.2048
-12.1279,-4.5481,349.9000,4.2037
-15.1546,0.8571,349.9000,4.1936
-16.6695,1.6962,349.9000,4.2025
-14.3295,1.8090,349.9000,4.2048
-16.7590,-1.8327,349.9000,4.2009
-13.9886,0.1385,349.9000,4.2005
-14.1092,1.6855,349.9000,4.1966
-14.0562,-0.0644,349.9000,4.2028
-13.1930,0.3474,349.9000,4.1943
-15.0308,0.4025,349.9000,4.2022
-14.1717,-1.0579,349.9000,4.2015
-14.7396,-1.3418,349.9000,4.1934
-13.4688,-3.2833,349.9000,4.2020
-14.0238,-0.8897,349.9000,4.1912
-14.4026,0.5027,349.9000,4.1827
-15.3214,-1.9109,349.9000,4.2067
-12.8801,1.4863,349.9000,4.2057
-14.8968,1.4798,349.9000,4.2000
-15.1462,-1.2621,349.9000,4.2023
-13.4550,-0.9461,349.9000,4.2019
-15.2401,-0.8289,349.9000,4.2042
-14.3383,0.2727,349.9000,4.2028
-15.7258,-0.0475,349.9000,4.2055
-14.3413,0.1276,349.9000,4.1989
-17.1257,-3.7145,349.9000,4.1984
-15.5266,-0.0250,349.9000,4.1932
-15.1000,-0.0731,349.9000,4.2059
-14.6431,0.5221,349.9000,4.2022
-15.1722,-1.9958,349.9000,4.2008
-14.5004,-1.4895,349.9000,4.1925
-15.9168,-0.3024,349.9000,4.1933
-13.8836,1.3048,349.9000,4.2037
-15.6473,0.9888,349.9000,4.1982
-14.0246,-0.4238,349.9000,4.2016
-14.6571,-1.2029,349.9000,4.1999
-15.3606,1.5178,349.9000,4.2037
-14.7636,-0.0217,349.9000,4.2044
-12.8776,0.2741,349.9000,4.2048
-15.6163,0.5139,349.9000,4.2083
-14.8941,0.0325,349.9000,4.1985
-16.0037,0.4023,349.9000,4.2031
-14.6965,-2.1680,349.9000,4.2067
-14.8976,0.7772,349.9000,4.1952
-12.3537,-0.1035,349.9000,4.2037
-15.1529,4.3924,349.9000,4.1807
-14.1285,1.3074,349.9000,4.2041
-17.4005,-1.7617,349.9000,4.1989
-13.7972,-0.5493,349.9000,4.2003
-14.6391,-0.6019,349.9000,4.2053
-15.7451,0.1088,349.9000,4.2009
-13.3948,-0.3216,349.9000,4.2009
-15.2615,-0.7758,349.9000,4.1851
-15.4279,0.3620,349.9000,4.2042
-14.5539,1.9316,349.9000,4.1907
-15.6548,0.3276,349.9000,4.1989
-17.9211,-0.3568,349.9000,4.2043
-14.9897,-1.5882,349.9000,4.2071
-15.6868,0.4691,349.9000,4.2066
-15.1363,2.2839,349.9000,4.2034
-15.5571,1.6139,349.9000,4.2033
-14.9084,-0.3573,349.9000,4.2013
-16.2715,0.9521,349.9000,4.1999
-14.0190,-1.1808,349.9000,4.2036
-13.9344,-1.3964,349.9000,4.2041
-15.2169,-1.7735,349.9000,4.2017
-17.1293,-0.0993,349.9000,4.2050
-13.7134,-0.0805,349.9000,4.2070
-13.7226,-0.7114,349.9000,4.2044
-13.1742,1.4224,349.9000,4.1969
-16.3547,-0.5056,349.9000,4.1922
-15.3876,-1.3436,349.9000,4.2028
-15.2366,0.1586,349.9000,4.2044
-14.1149,3.2514,349.9000,4.1948
-12.8779,0.5395,349.9000,4.2047
-15.1329,-0.1132,349.9000,4.2066
-14.0690,0.4884,349.9000,4.2052
-17.3184,-0.4192,349.9000,4.2047
-13.2292,0.6561,349.9000,4.2031
-15.9190,1.3172,349.9000,4.1983
-15.1930,-0.3255,349.9000,4.1994
-15.0682,0.2239,349.9000,4.2045
-14.4380,-0.0619,349.9000,4.2025
-15.9243,-1.6252,349.9000,4.2010
-13.5806,0.2291,349.9000,4.1966
-15.1216,-1.6285,349.9000,4.1994
-13.8520,0.2734,349.9000,4.1951
-15.4070,-3.3086,349.9000,4.2072
-14.7743,2.6395,349.9000,4.2060
-15.8648,-2.2907,349.9000,4.1923
-15.7385,-1.8579,349.9000,4.2061
-14.0613,-0.7686,349.9000,4.2013
-12.7077,0.1353,349.9000,4.2063
-15.7447,2.1159,349.9000,4.2041
-14.8420,-1.7048,349.9000,4.2056
-15.5717,-0.6401,349.9000,4.2040
-14.1031,-1.7940,349.9000,4.2051
-14.1827,-0.9566,349.9000,4.2020
-14.6473,-1.6355,349.9000,4.2020
-16.7281,1.3277,349.9000,4.2066
-12.3098,-0.8959,349.9000,4.2030
-14.2215,0.2846,349.9000,4.2050
-16.8456,-0.3460,349.9000,4.2043
-13.8561,1.2612,349.9000,4.2004
-16.3595,-0.5626,349.9000,4.1984
-13.9920,-0.5316,349.9000,4.2057
-14.7875,0.2871,349.9000,4.2069
-13.4195,-0.7321,349.9000,4.2033
-15.8635,-0.3911,349.9000,4.2012
-12.6060,-1.2574,349.9000,4.2035
-15.3613,-0.9031,349.9000,4.2035
-13.2731,2.3038,349.9000,4.1947
-13.3849,-0.5940,349.9000,4.2048
-16.1570,0.5438,349.9000,4.2051
-14.5469,1.7347,349.9000,4.1882
-16.5450,0.0474,349.9000,4.2056
-16.1795,-1.5190,349.9000,4.1954
-11.9630,-0.0774,349.9000,4.2034
-15.5804,2.8862,349.9000,4.2057
-15.0064,-0.3408,349.9000,4.2038
-14.7294,0.5161,349.9000,4.2051
-13.3570,-0.2787,349.9000,4.2013
-13.6783,0.3070,349.9000,4.2018
-15.2949,-0.9662,349.9000,4.1996
-15.0162,-1.3474,349.9000,4.2045
-16.4786,2.0412,349.9000,4.2099
-15.5608,0.9583,349.9000,4.2058
-13.4249,0.7009,349.9000,4.2011
-15.1029,-0.7813,349.9000,4.1923
-15.1848,0.3281,349.9000,4.1985
-15.9977,-0.4994,349.9000,4.1945
-15.0970,2.6798,349.9000,4.2045
-13.8172,1.1439,349.9000,4.2053
-16.7881,0.5613,349.9000,4.1945
-12.9639,-1.4698,349.9000,4.1887
-8.8480,2.8669,349.9000,4.2027
-14.2771,-0.5668,349.9000,4.2039
-14.9581,-3.5052,349.9000,4.1999
-14.8045,2.4357,349.9000,4.2032
-15.8556,0.9197,349.9000,4.2031
-14.5425,1.6396,349.9000,4.1996
-15.0509,-0.1347,349.9000,4.1966
-14.7518,1.0051,349.9000,4.2078
-15.1933,1.2837,349.9000,4.2060
-14.8585,-0.2284,349.9000,4.2067
-10.3734,-2.2063,349.9000,4.1962
-14.3105,-1.2985,349.9000,4.2031
-15.1680,-1.0132,349.9000,4.1964
-12.7954,1.4283,349.9000,4.1933
-14.5950,0.8185,349.9000,4.1935
-15.7250,-0.3013,349.9000,4.2007
-13.8970,1.0809,349.9000,4.1948
-14.7858,-0.4911,349.9000,4.2040
-14.3168,-2.2646,349.9000,4.1954
-14.4059,-0.3767,349.9000,4.2065
-15.3019,0.0492,349.9000,4.2038
-13.8491,-1.5039,349.9000,4.1909
-15.6594,-2.0136,349.9000,4.1998
-14.6913,0.5140,349.9000,4.2009
-14.2219,0.3003,349.9000,4.1938
-14.1534,2.2415,349.9000,4.1980
-14.9043,0.6358,349.9000,4.1952
-15.3012,-0.7015,349.9000,4.2049
-15.4062,-0.3157,349.9000,4.1977
-15.1551,-1.7395,349.9000,4.2022
-12.4503,1.0535,349.9000,4.2049
-14.5055,0.3650,349.9000,4.2059
-14.2726,-0.8162,349.9000,4.2072
-16.7685,-0.4835,349.9000,4.1988
-13.9818,-2.1296,349.9000,4.2024
-15.2600,-1.5067,349.9000,4.1971
-17.4807,-0.5404,349.9000,4.2048
-12.5255,-1.7031,349.9000,4.1935
-14.6611,-0.6567,349.9000,4.1932
-14.7847,0.3569,349.9000,4.2030
-14.2971,-1.2776,349.9000,4.2070
-16.0112,-0.5077,349.9000,4.1916
-13.8619,0.4321,349.9000,4.1832
-12.8863,-0.8086,349.9000,4.1949
-13.5263,0.0378,349.9000,4.1859
-13.6526,0.9564,349.9000,4.2007
-13.4610,0.2254,349.9000,4.2049
-13.2202,-0.2288,349.9000,4.2047
-15.6163,0.7091,349.9000,4.1974
-15.3255,-0.4267,349.9000,4.2040
-14.1122,1.2291,349.9000,4.1847
-14.7073,-1.3198,349.9000,4.1955
-10.8048,-0.2068,349.9000,4.2075
-12.7639,-0.4946,349.9000,4.2052
-13.9480,3.0539,349.9000,4.2043
-13.8204,-2.8180,349.9000,4.1941
-14.6144,0.2523,349.9000,4.2050
-16.4488,-1.2463,349.9000,4.1999
-15.7413,-0.0804,349.9000,4.1997
-17.0571,-0.1861,349.9000,4.2024
-15.2616,-1.0699,349.9000,4.2067
-14.0020,-0.5237,349.9000,4.1956
-13.5868,0.6250,349.9000,4.1968
-14.8899,1.5193,349.9000,4.2040
-13.9377,0.1229,349.9000,4.2051
-13.1967,-1.4647,349.9000,4.2061
-14.8394,0.2727,349.9000,4.1787
-14.7786,0.2434,349.9000,4.2028
